facebook.com,31.13.93.35
youtube.com,172.217.1.206
yahoo.com,98.137.246.7
live.com,204.79.197.212
wikipedia.org,208.80.153.224
baidu.com,220.181.38.148
microsoft.com,104.215.148.63
msn.com,13.82.28.61
qq.com,111.161.64.48
blogspot.com,172.217.1.201
taobao.com,140.205.220.96
bing.com,13.107.21.200
sina.com.cn,123.126.157.222
soso.com,118.191.216.57
163.com,123.58.180.8
ask.com,151.101.70.114
adobe.com,193.104.215.58
twitter.com,104.244.42.129
mozilla.com,63.245.208.194
youku.com,106.11.186.25
sdjjdsaf.com,
andysayler.com,
wmfo.org,
amazon.com,
wordpress.com,
tudou.com,
yahoo.co.jp,
sohu.com,
apple.com,
hao123.com,
windows.com,
ebay.com,
pps.tv,
xunlei.com,
56.com,
fc2.com,
paypal.com,
sogou.com,
tmall.com,
ku6.com,
rakuten.co.jp,
about.com,
orkut.com.br,
